36270,23530
36269,23529
36268,23528
36267,23527
36266,23526
36265,23525
36264,23524
36263,23523
36262,23522
36261,23521
36260,23520
36259,23519
36258,23518
36257,23517
36256,23516
36255,23515
36254,23514
36253,23513
36252,23512
36251,23511
36250,23510
36249,23509
36248,23508
36247,23507
36246,23506
36245,23505
36244,23504
36243,23503
36242,23502
36241,23501
36240,23500
36239,23499
36238,23498
36237,23497
36236,23496
36235,23495
36234,23494
36233,23493
36232,23492
36231,23491
36230,23490
36229,23489
36228,23488
36227,23487
36226,23486
36225,23485
36224,23484
36223,23483
36222,23482
36221,23481
36220,23480
36219,23479
36218,23478
36217,23477
36216,23476
36215,23475
36214,23474
36213,23473
36212,23472
36211,23471
36210,23470
36209,23469
36208,23468
36207,23467
36206,23466
36205,23465
36204,23464
36203,23463
36202,23462
36201,23461
36200,23460
36199,23459
36198,23458
36197,23457
36196,23456
36195,23455
36194,23454
36193,23453
36192,23452
36191,23451
36190,23450
36189,23449
36188,23448
36187,23447
36186,23446
36185,23445
36184,23444
36183,23443
36182,23442
36181,23441
36180,23440
36179,23439
36178,23438
36177,23437
36176,23436
36175,23435
36174,23434
36173,23433
36172,23432
36171,23431
